26 - 12 - 2019,08:45:03,x,Se crea un nuevo libro de nombre hol, del genero Aventura, de color  -65536 (en rgb) y de orden  1  ,noteBook.UNA.Clases.Libro
26 - 12 - 2019,08:45:07,x,Se crea una nueva nota de nombre asd, con la fuente , el color de la fuente en rgb es -7667712 y el color del fondo en rgb es -16776961 ,noteBook.Nota
26 - 12 - 2019,08:45:10,x,Se crea una nueva nota de nombre asd, con la fuente , el color de la fuente en rgb es -7667712 y el color del fondo en rgb es -16776961 ,noteBook.Nota
26 - 12 - 2019,08:45:15,x,Se crea una nueva nota de nombre , con la fuente , el color de la fuente en rgb es -7667712 y el color del fondo en rgb es -16776961 ,noteBook.Nota
26 - 12 - 2019,08:45:20,x,Se crea una nueva nota de nombre asd, con la fuente , el color de la fuente en rgb es -7667712 y el color del fondo en rgb es -16776961 ,noteBook.Nota
26 - 12 - 2019,08:45:26,x,Se crea una nueva nota de nombre afff, con la fuente , el color de la fuente en rgb es -7667712 y el color del fondo en rgb es -16776961 ,noteBook.Nota
26 - 12 - 2019,08:45:31,x,Se crea una nueva nota de nombre ghja, con la fuente , el color de la fuente en rgb es -7667712 y el color del fondo en rgb es -16776961 ,noteBook.Nota
