26 - 12 - 2019,01:16:47,x,Se crea un nuevo libro de nombre csdczx, del genero zxcvzxcv , de color  -65536 (en rgb) y de orden  1  ,noteBook.UNA.Clases.Libro
26 - 12 - 2019,01:16:58,x,Se crea una nueva nota de nombre vzxcv xc xcvxzv, con la fuente vzxv xc , el color de la fuente en rgb es -7667712 y el color del fondo en rgb es -16776961 ,noteBook.Nota
