x,Se agrega un nuevo libro,noteBook.UNA.Clases.Libro,27 - 12 - 2019,11:58:43,Se crea un nuevo libro de nombre Lalo, del genero Aventura, de color  -65536 (en rgb) y de orden  1  
x,Se agrega un nuevo libro,noteBook.Nota,27 - 12 - 2019,11:58:50,Se crea una nueva nota de nombre Hola, con la fuente , el color de la fuente en rgb es -7667712 y el color del fondo en rgb es -16776961 
x,Se agrega un nuevo libro,noteBook.Nota,27 - 12 - 2019,11:59:05,Se crea una nueva nota de nombre Musica, con la fuente , el color de la fuente en rgb es -7667712 y el color del fondo en rgb es -16776961 
